cite,title,year,venue,paradigm,stage,paper_role,privacy_notion,attack_or_defense,modality,threat_model,assumptions,used_in_figure2,used_in_taxonomy,notes
80,Efficient privacy auditing in federated learning,2024,USENIX Security,FL,NA,attack,attribute,attack,NA,C,representation-level signal,yes,no,
81,Defending against data reconstruction attacks in federated learning: An information theory approach,2024,USENIX Security,FL,NA,defense,multi,defense,vision,NA,mitigation/evaluation setting,yes,no,
82,Spear: Exact gradient inversion of batches in federated learning,2024,NeurIPS,FL,NA,attack,reconstruction,attack,NA,A,artifact visibility sufficient for reconstruction,yes,no,
83,Mutual gradient inversion: Unveiling privacy risks of federated learning on multi-modal signals,2024,IEEE Signal Processing Letters,FL,NA,attack,attribute;reconstruction,attack,multimodal;vision,A,artifact visibility sufficient for reconstruction; representation-level signal,yes,no,
84,Fedmia: An effective membership inference attack exploiting,2025,CVPR,FL,NA,attack,membership,attack,NA,B,member/non-member distinguishability,yes,no,
85,SoK: Gradient inversion attacks in federated learning,2025,USENIX Security,FL,NA,survey,reconstruction,survey,NA,NA,survey/reference taxonomy,yes,no,survey landscape / framing
86,SoK: on gradient leakage in federated learning,2025,USENIX Security,FL,NA,survey,reconstruction,survey,NA,NA,survey/reference taxonomy,yes,no,survey landscape / framing
87,Spear++: Scaling gradient inversion via sparsely-used dictionary learning,2025,NeurIPS Workshop,FL,NA,attack,reconstruction,attack,NA,A,artifact visibility sufficient for reconstruction,yes,no,
88,Refiner: Data refining against gradient leakage attacks in federated learning,2025,USENIX Security,FL,NA,defense,reconstruction,defense,NA,NA,artifact visibility sufficient for reconstruction; mitigation/evaluation setting,yes,no,
89,Deduplicating training data mitigates privacy risks in language models,2022,ICML,FM,NA,defense,provenance,defense,text,NA,mitigation/evaluation setting,yes,no,
90,Canary extraction in natural language understanding models,2022,ACL,FM,NA,attack,provenance,attack,text,B,general,yes,no,
91,Membership inference attacks against language models via neighbourhood comparison,2023,ACL Findings,FM,NA,attack,membership,attack,text,C,member/non-member distinguishability,yes,no,
92,Multi-step jailbreaking privacy attacks on chatgpt,2023,EMNLP Findings,FM,NA,attack,inference_time,attack,text,C,query/output access,yes,no,
93,Privacy issues in large language models: A survey,2023,arXiv,FM,NA,survey,multi,survey,text,NA,survey/reference taxonomy,yes,no,survey landscape / framing
94,Llama: Open and efficient foundation language models,2023,arXiv,FM,NA,dataset/model,NA,dataset/model,text,NA,case-study support reference,yes,no,case-study support reference
95,Precurious: How innocent pretrained language models turn into privacy traps,2024,CCS,FM,NA,attack,membership,attack,text,C,member/non-member distinguishability,yes,no,
96,Membership inference attacks against fine-tuned large language models via selfprompt calibration,2024,NeurIPS,FM,NA,attack,membership,attack,text,C,member/non-member distinguishability,yes,no,
97,Llm dataset inference: Did you train on my dataset?,2024,NeurIPS,FM,NA,attack,inference_time;provenance,attack,text,B,query/output access,yes,no,
98,Membership inference attacks against large vision-language models,2024,NeurIPS,FM,NA,attack,membership,attack,multimodal;vision,C,member/non-member distinguishability,yes,no,
99,Risks when sharing lora fine-tuned diffusion model weights,2024,arXiv,FM,NA,attack,membership,attack,NA,B,member/non-member distinguishability,yes,no,
100,Loraleak: Membership inference attacks against lora fine-tuned language models,2025,arXiv,FM,NA,attack,membership,attack,text,B,member/non-member distinguishability,yes,no,
101,Simple yet effective: Extracting private data across clients in federated fine-tuning of large language models,2025,IJCNLP-AACL,FL∩FM,D,attack,reconstruction,attack,text,A,reused pretrained or inherited FM; artifact visibility sufficient for reconstruction,yes,yes,intersection paper
102,Gradient inversion attacks on parameter-efficient finetuning,2025,CVPR,FL∩FM,D,attack,reconstruction,attack,vision,A,reused pretrained or inherited FM; artifact visibility sufficient for reconstruction,yes,yes,intersection paper
